year,number,date,month,state
"2011",4632,2011-01-01,"September","Maranhao"
"2012",7626,2012-01-01,"September","Maranhao"
"2013",3880,2013-01-01,"September","Maranhao"
"2014",4373,2014-01-01,"September","Maranhao"
"2015",6423,2015-01-01,"September","Maranhao"
"2016",3166,2016-01-01,"September","Maranhao"
"2017",14825,2017-01-01,"September","Maranhao"
"1998",5137,1998-01-01,"October","Maranhao"
"1999",3208,1999-01-01,"October","Maranhao"
"2000",2654,2000-01-01,"October","Maranhao"
"2001",6661,2001-01-01,"October","Maranhao"
"2002",5182,2002-01-01,"October","Maranhao"
"2003",6085,2003-01-01,"October","Maranhao"
"2004",3604,2004-01-01,"October","Maranhao"
"2005",6472,2005-01-01,"October","Maranhao"
"2006",3024,2006-01-01,"October","Maranhao"
"2007",4772,2007-01-01,"October","Maranhao"
"2008",3498,2008-01-01,"October","Maranhao"
"2009",1861,2009-01-01,"October","Maranhao"
"2010",3228,2010-01-01,"October","Maranhao"
"2011",2404,2011-01-01,"October","Maranhao"
"2012",5,2012-01-01,"October","Maranhao"
"2013",2918,2013-01-01,"October","Maranhao"
"2014",5812,2014-01-01,"October","Maranhao"
"2015",6746,2015-01-01,"October","Maranhao"
"2016",5351,2016-01-01,"October","Maranhao"
"2017",6011,2017-01-01,"October","Maranhao"
"1998",2237,1998-01-01,"November","Maranhao"
"1999",1494,1999-01-01,"November","Maranhao"
"2000",2267,2000-01-01,"November","Maranhao"
"2001",3525,2001-01-01,"November","Maranhao"
"2002",5830,2002-01-01,"November","Maranhao"
"2003",4929,2003-01-01,"November","Maranhao"
"2004",6398,2004-01-01,"November","Maranhao"
"2005",4769,2005-01-01,"November","Maranhao"
"2006",2004,2006-01-01,"November","Maranhao"
"2007",2297,2007-01-01,"November","Maranhao"
"2008",2331,2008-01-01,"November","Maranhao"
"2009",5,2009-01-01,"November","Maranhao"
"2010",4005,2010-01-01,"November","Maranhao"
"2011",2261,2011-01-01,"November","Maranhao"
"2012",2010,2012-01-01,"November","Maranhao"
"2013",2529,2013-01-01,"November","Maranhao"
"2014",3869,2014-01-01,"November","Maranhao"
"2015",4350,2015-01-01,"November","Maranhao"
"2016",3982,2016-01-01,"November","Maranhao"
"2017",2300,2017-01-01,"November","Maranhao"
"1998",1399,1998-01-01,"December","Maranhao"
"1999",1001,1999-01-01,"December","Maranhao"
"2000",1461,2000-01-01,"December","Maranhao"
"2001",1296,2001-01-01,"December","Maranhao"
"2002",2165,2002-01-01,"December","Maranhao"
"2003",2424,2003-01-01,"December","Maranhao"
"2004",3255,2004-01-01,"December","Maranhao"
"2005",1660,2005-01-01,"December","Maranhao"
"2006",1052,2006-01-01,"December","Maranhao"
"2007",800,2007-01-01,"December","Maranhao"
"2008",1101,2008-01-01,"December","Maranhao"
"2009",1768,2009-01-01,"December","Maranhao"
"2010",1803,2010-01-01,"December","Maranhao"
"2011",1629,2011-01-01,"December","Maranhao"
"2012",1296,2012-01-01,"December","Maranhao"
"2013",2692,2013-01-01,"December","Maranhao"
"2014",2400,2014-01-01,"December","Maranhao"
"2015",3706,2015-01-01,"December","Maranhao"
"2016",1577,2016-01-01,"December","Maranhao"
"1998",0,1998-01-01,"January","Mato Grosso"
"1999",39,1999-01-01,"January","Mato Grosso"
"2000",44,2000-01-01,"January","Mato Grosso"
"2001",44,2001-01-01,"January","Mato Grosso"
"2002",172,2002-01-01,"January","Mato Grosso"
"2003",896,2003-01-01,"January","Mato Grosso"
"2004",301,2004-01-01,"January","Mato Grosso"
"2005",438,2005-01-01,"January","Mato Grosso"
"2006",947,2006-01-01,"January","Mato Grosso"
"2007",476,2007-01-01,"January","Mato Grosso"
"2008",245,2008-01-01,"January","Mato Grosso"
"2009",527,2009-01-01,"January","Mato Grosso"
"2010",298,2010-01-01,"January","Mato Grosso"
"2011",171,2011-01-01,"January","Mato Grosso"
"2012",166,2012-01-01,"January","Mato Grosso"
"2013",269,2013-01-01,"January","Mato Grosso"
"2014",315,2014-01-01,"January","Mato Grosso"
"2015",960,2015-01-01,"January","Mato Grosso"
"2016",374,2016-01-01,"January","Mato Grosso"
"2017",482,2017-01-01,"January","Mato Grosso"
"1998",0,1998-01-01,"February","Mato Grosso"
"1999",28,1999-01-01,"February","Mato Grosso"
"2000",35,2000-01-01,"February","Mato Grosso"
"2001",54,2001-01-01,"February","Mato Grosso"
"2002",22,2002-01-01,"February","Mato Grosso"
"2003",592,2003-01-01,"February","Mato Grosso"
"2004",272,2004-01-01,"February","Mato Grosso"
"2005",871,2005-01-01,"February","Mato Grosso"
"2006",383,2006-01-01,"February","Mato Grosso"
"2007",213,2007-01-01,"February","Mato Grosso"
"2008",180,2008-01-01,"February","Mato Grosso"
"2009",248,2009-01-01,"February","Mato Grosso"
"2010",431,2010-01-01,"February","Mato Grosso"
"2011",119,2011-01-01,"February","Mato Grosso"
"2012",193,2012-01-01,"February","Mato Grosso"
"2013",375,2013-01-01,"February","Mato Grosso"
"2014",199,2014-01-01,"February","Mato Grosso"
"2015",542,2015-01-01,"February","Mato Grosso"
"2016",1050,2016-01-01,"February","Mato Grosso"
"2017",337,2017-01-01,"February","Mato Grosso"
"1998",0,1998-01-01,"March","Mato Grosso"
"1999",18,1999-01-01,"March","Mato Grosso"
"2000",60,2000-01-01,"March","Mato Grosso"
"2001",24,2001-01-01,"March","Mato Grosso"
"2002",103,2002-01-01,"March","Mato Grosso"
"2003",554,2003-01-01,"March","Mato Grosso"
"2004",743,2004-01-01,"March","Mato Grosso"
"2005",362,2005-01-01,"March","Mato Grosso"
"2006",448,2006-01-01,"March","Mato Grosso"
"2007",476,2007-01-01,"March","Mato Grosso"
"2008",180,2008-01-01,"March","Mato Grosso"
"2009",325,2009-01-01,"March","Mato Grosso"
"2010",605,2010-01-01,"March","Mato Grosso"
"2011",252,2011-01-01,"March","Mato Grosso"
"2012",423,2012-01-01,"March","Mato Grosso"
"2013",563,2013-01-01,"March","Mato Grosso"
"2014",655,2014-01-01,"March","Mato Grosso"
"2015",705,2015-01-01,"March","Mato Grosso"
"2016",1085,2016-01-01,"March","Mato Grosso"
"2017",719,2017-01-01,"March","Mato Grosso"
"1998",0,1998-01-01,"April","Mato Grosso"
"1999",76,1999-01-01,"April","Mato Grosso"
"2000",59,2000-01-01,"April","Mato Grosso"
"2001",309,2001-01-01,"April","Mato Grosso"
"2002",641,2002-01-01,"April","Mato Grosso"
"2003",903,2003-01-01,"April","Mato Grosso"
"2004",441,2004-01-01,"April","Mato Grosso"
"2005",372,2005-01-01,"April","Mato Grosso"
"2006",161,2006-01-01,"April","Mato Grosso"
"2007",79,2007-01-01,"April","Mato Grosso"
"2008",274,2008-01-01,"April","Mato Grosso"
"2009",169,2009-01-01,"April","Mato Grosso"
"2010",769,2010-01-01,"April","Mato Grosso"
"2011",345,2011-01-01,"April","Mato Grosso"
"2012",521,2012-01-01,"April","Mato Grosso"
"2013",338,2013-01-01,"April","Mato Grosso"
"2014",859,2014-01-01,"April","Mato Grosso"
"2015",947,2015-01-01,"April","Mato Grosso"
"2016",1770,2016-01-01,"April","Mato Grosso"
"2017",606,2017-01-01,"April","Mato Grosso"
"1998",0,1998-01-01,"May","Mato Grosso"
"1999",731,1999-01-01,"May","Mato Grosso"
"2000",1194,2000-01-01,"May","Mato Grosso"
"2001",1193,2001-01-01,"May","Mato Grosso"
"2002",2528,2002-01-01,"May","Mato Grosso"
"2003",942,2003-01-01,"May","Mato Grosso"
"2004",2413,2004-01-01,"May","Mato Grosso"
"2005",1641,2005-01-01,"May","Mato Grosso"
"2006",269,2006-01-01,"May","Mato Grosso"
"2007",359,2007-01-01,"May","Mato Grosso"
"2008",119,2008-01-01,"May","Mato Grosso"
"2009",516,2009-01-01,"May","Mato Grosso"
"2010",1313,2010-01-01,"May","Mato Grosso"
"2011",547,2011-01-01,"May","Mato Grosso"
"2012",812,2012-01-01,"May","Mato Grosso"
"2013",739,2013-01-01,"May","Mato Grosso"
"2014",933,2014-01-01,"May","Mato Grosso"
"2015",541,2015-01-01,"May","Mato Grosso"
"2016",1081,2016-01-01,"May","Mato Grosso"
"2017",845,2017-01-01,"May","Mato Grosso"
"1998",2201,1998-01-01,"June","Mato Grosso"
"1999",2201,1999-01-01,"June","Mato Grosso"
"2000",4358,2000-01-01,"June","Mato Grosso"
"2001",6665,2001-01-01,"June","Mato Grosso"
"2002",7878,2002-01-01,"June","Mato Grosso"
"2003",4313,2003-01-01,"June","Mato Grosso"
"2004",9813,2004-01-01,"June","Mato Grosso"
"2005",2294,2005-01-01,"June","Mato Grosso"
"2006",856,2006-01-01,"June","Mato Grosso"
"2007",1339,2007-01-01,"June","Mato Grosso"
"2008",403,2008-01-01,"June","Mato Grosso"
"2009",979,2009-01-01,"June","Mato Grosso"
"2010",1025,2010-01-01,"June","Mato Grosso"
"2011",974,2011-01-01,"June","Mato Grosso"
"2012",1651,2012-01-01,"June","Mato Grosso"
"2013",1213,2013-01-01,"June","Mato Grosso"
"2014",1795,2014-01-01,"June","Mato Grosso"
"2015",1402,2015-01-01,"June","Mato Grosso"
"2016",1417,2016-01-01,"June","Mato Grosso"
"2017",2041,2017-01-01,"June","Mato Grosso"
"1998",3712,1998-01-01,"July","Mato Grosso"
"1999",3926,1999-01-01,"July","Mato Grosso"
"2000",1338,2000-01-01,"July","Mato Grosso"
"2001",1555,2001-01-01,"July","Mato Grosso"
"2002",5661,2002-01-01,"July","Mato Grosso"
"2003",5435,2003-01-01,"July","Mato Grosso"
"2004",11517,2004-01-01,"July","Mato Grosso"
"2005",4172,2005-01-01,"July","Mato Grosso"
"2006",1941,2006-01-01,"July","Mato Grosso"
"2007",1790,2007-01-01,"July","Mato Grosso"
"2008",1117,2008-01-01,"July","Mato Grosso"
"2009",1613,2009-01-01,"July","Mato Grosso"
"2010",3442,2010-01-01,"July","Mato Grosso"
"2011",1061,2011-01-01,"July","Mato Grosso"
"2012",2008,2012-01-01,"July","Mato Grosso"
"2013",1630,2013-01-01,"July","Mato Grosso"
"2014",2255,2014-01-01,"July","Mato Grosso"
"2015",1533,2015-01-01,"July","Mato Grosso"
"2016",3495,2016-01-01,"July","Mato Grosso"
"2017",2790,2017-01-01,"July","Mato Grosso"
"1998",15406,1998-01-01,"August","Mato Grosso"
"1999",18566,1999-01-01,"August","Mato Grosso"
"2000",6063,2000-01-01,"August","Mato Grosso"
"2001",7762,2001-01-01,"August","Mato Grosso"
"2002",14086,2002-01-01,"August","Mato Grosso"
"2003",11132,2003-01-01,"August","Mato Grosso"
"2004",13603,2004-01-01,"August","Mato Grosso"
"2005",1157,2005-01-01,"August","Mato Grosso"
"2006",6218,2006-01-01,"August","Mato Grosso"
"2007",14453,2007-01-01,"August","Mato Grosso"
"2008",2875,2008-01-01,"August","Mato Grosso"
"2009",2250,2009-01-01,"August","Mato Grosso"
"2010",14608,2010-01-01,"August","Mato Grosso"
"2011",2628,2011-01-01,"August","Mato Grosso"
"2012",6195,2012-01-01,"August","Mato Grosso"
"2013",3568,2013-01-01,"August","Mato Grosso"
"2014",7167,2014-01-01,"August","Mato Grosso"
"2015",5112,2015-01-01,"August","Mato Grosso"
"2016",6228,2016-01-01,"August","Mato Grosso"
"2017",6229,2017-01-01,"August","Mato Grosso"
"1998",10363,1998-01-01,"September","Mato Grosso"
"1999",11729,1999-01-01,"September","Mato Grosso"
"2000",6251,2000-01-01,"September","Mato Grosso"
"2001",8490,2001-01-01,"September","Mato Grosso"
"2002",11034,2002-01-01,"September","Mato Grosso"
"2003",1579,2003-01-01,"September","Mato Grosso"
"2004",24994,2004-01-01,"September","Mato Grosso"
"2005",20551,2005-01-01,"September","Mato Grosso"
"2006",12661,2006-01-01,"September","Mato Grosso"
"2007",25963,2007-01-01,"September","Mato Grosso"
"2008",7965,2008-01-01,"September","Mato Grosso"
"2009",3129,2009-01-01,"September","Mato Grosso"
"2010",18366,2010-01-01,"September","Mato Grosso"
"2011",6332,2011-01-01,"September","Mato Grosso"
"2012",10344,2012-01-01,"September","Mato Grosso"
"2013",5576,2013-01-01,"September","Mato Grosso"
"2014",7081,2014-01-01,"September","Mato Grosso"
"2015",11068,2015-01-01,"September","Mato Grosso"
"2016",8980,2016-01-01,"September","Mato Grosso"
"2017",23945,2017-01-01,"September","Mato Grosso"
"1998",2707,1998-01-01,"October","Mato Grosso"
"1999",6109,1999-01-01,"October","Mato Grosso"
"2000",6062,2000-01-01,"October","Mato Grosso"
"2001",6543,2001-01-01,"October","Mato Grosso"
"2002",9375,2002-01-01,"October","Mato Grosso"
"2003",5341,2003-01-01,"October","Mato Grosso"
"2004",9295,2004-01-01,"October","Mato Grosso"
"2005",7765,2005-01-01,"October","Mato Grosso"
"2006",2327,2006-01-01,"October","Mato Grosso"
"2007",4890,2007-01-01,"October","Mato Grosso"
"2008",6326,2008-01-01,"October","Mato Grosso"
"2009",2579,2009-01-01,"October","Mato Grosso"
"2010",4465,2010-01-01,"October","Mato Grosso"
"2011",2010,2011-01-01,"October","Mato Grosso"
"2012",2837,2012-01-01,"October","Mato Grosso"
"2013",1986,2013-01-01,"October","Mato Grosso"
"2014",5281,2014-01-01,"October","Mato Grosso"
"2015",6490,2015-01-01,"October","Mato Grosso"
"2016",2749,2016-01-01,"October","Mato Grosso"
"2017",4800,2017-01-01,"October","Mato Grosso"
"1998",182,1998-01-01,"November","Mato Grosso"
"1999",842,1999-01-01,"November","Mato Grosso"
"2000",502,2000-01-01,"November","Mato Grosso"
"2001",373,2001-01-01,"November","Mato Grosso"
"2002",2905,2002-01-01,"November","Mato Grosso"
"2003",2097,2003-01-01,"November","Mato Grosso"
"2004",2405,2004-01-01,"November","Mato Grosso"
"2005",1368,2005-01-01,"November","Mato Grosso"
"2006",1031,2006-01-01,"November","Mato Grosso"
"2007",299,2007-01-01,"November","Mato Grosso"
"2008",190,2008-01-01,"November","Mato Grosso"
"2009",588,2009-01-01,"November","Mato Grosso"
"2010",768,2010-01-01,"November","Mato Grosso"
"2011",1103,2011-01-01,"November","Mato Grosso"
"2012",375,2012-01-01,"November","Mato Grosso"
"2013",1064,2013-01-01,"November","Mato Grosso"
"2014",1018,2014-01-01,"November","Mato Grosso"
"2015",1930,2015-01-01,"November","Mato Grosso"
"2016",918,2016-01-01,"November","Mato Grosso"
"2017",813,2017-01-01,"November","Mato Grosso"
"1998",76,1998-01-01,"December","Mato Grosso"
"1999",47,1999-01-01,"December","Mato Grosso"
"2000",98,2000-01-01,"December","Mato Grosso"
"2001",37,2001-01-01,"December","Mato Grosso"
"2002",1157,2002-01-01,"December","Mato Grosso"
"2003",1622,2003-01-01,"December","Mato Grosso"
"2004",1217,2004-01-01,"December","Mato Grosso"
"2005",246,2005-01-01,"December","Mato Grosso"
"2006",23,2006-01-01,"December","Mato Grosso"
"2007",81,2007-01-01,"December","Mato Grosso"
"2008",159,2008-01-01,"December","Mato Grosso"
"2009",171,2009-01-01,"December","Mato Grosso"
"2010",846,2010-01-01,"December","Mato Grosso"
"2011",431,2011-01-01,"December","Mato Grosso"
"2012",492,2012-01-01,"December","Mato Grosso"
"2013",447,2013-01-01,"December","Mato Grosso"
"2014",466,2014-01-01,"December","Mato Grosso"
"2015",1777,2015-01-01,"December","Mato Grosso"
"2016",425,2016-01-01,"December","Mato Grosso"
"1998",0,1998-01-01,"January","Mato Grosso"
"1999",239,1999-01-01,"January","Mato Grosso"
"2000",326,2000-01-01,"January","Mato Grosso"
"2001",97,2001-01-01,"January","Mato Grosso"
"2002",304,2002-01-01,"January","Mato Grosso"
"2003",182,2003-01-01,"January","Mato Grosso"
"2004",258,2004-01-01,"January","Mato Grosso"
"2005",59,2005-01-01,"January","Mato Grosso"
"2006",59,2006-01-01,"January","Mato Grosso"
"2007",19,2007-01-01,"January","Mato Grosso"
"2008",63,2008-01-01,"January","Mato Grosso"
"2009",229,2009-01-01,"January","Mato Grosso"
"2010",72,2010-01-01,"January","Mato Grosso"
"2011",129,2011-01-01,"January","Mato Grosso"
"2012",201,2012-01-01,"January","Mato Grosso"
"2013",174,2013-01-01,"January","Mato Grosso"
"2014",197,2014-01-01,"January","Mato Grosso"
"2015",226,2015-01-01,"January","Mato Grosso"
"2016",127,2016-01-01,"January","Mato Grosso"
"2017",355,2017-01-01,"January","Mato Grosso"
"1998",0,1998-01-01,"February","Mato Grosso"
"1999",69,1999-01-01,"February","Mato Grosso"
"2000",81,2000-01-01,"February","Mato Grosso"
"2001",89,2001-01-01,"February","Mato Grosso"
"2002",98,2002-01-01,"February","Mato Grosso"
"2003",108,2003-01-01,"February","Mato Grosso"
"2004",169,2004-01-01,"February","Mato Grosso"
"2005",221,2005-01-01,"February","Mato Grosso"
"2006",104,2006-01-01,"February","Mato Grosso"
"2007",111,2007-01-01,"February","Mato Grosso"
"2008",78,2008-01-01,"February","Mato Grosso"
"2009",164,2009-01-01,"February","Mato Grosso"
"2010",157,2010-01-01,"February","Mato Grosso"
"2011",61,2011-01-01,"February","Mato Grosso"
"2012",112,2012-01-01,"February","Mato Grosso"
"2013",100,2013-01-01,"February","Mato Grosso"
"2014",139,2014-01-01,"February","Mato Grosso"
"2015",148,2015-01-01,"February","Mato Grosso"
"2016",187,2016-01-01,"February","Mato Grosso"
"2017",165,2017-01-01,"February","Mato Grosso"
"1998",0,1998-01-01,"March","Mato Grosso"
"1999",100,1999-01-01,"March","Mato Grosso"
"2000",23,2000-01-01,"March","Mato Grosso"
"2001",39,2001-01-01,"March","Mato Grosso"
"2002",115,2002-01-01,"March","Mato Grosso"
"2003",137,2003-01-01,"March","Mato Grosso"
"2004",225,2004-01-01,"March","Mato Grosso"
"2005",158,2005-01-01,"March","Mato Grosso"
"2006",137,2006-01-01,"March","Mato Grosso"
"2007",137,2007-01-01,"March","Mato Grosso"
"2008",97,2008-01-01,"March","Mato Grosso"
"2009",118,2009-01-01,"March","Mato Grosso"
"2010",149,2010-01-01,"March","Mato Grosso"
"2011",37,2011-01-01,"March","Mato Grosso"
"2012",169,2012-01-01,"March","Mato Grosso"
"2013",158,2013-01-01,"March","Mato Grosso"
"2014",95,2014-01-01,"March","Mato Grosso"
"2015",190,2015-01-01,"March","Mato Grosso"
"2016",143,2016-01-01,"March","Mato Grosso"
"2017",170,2017-01-01,"March","Mato Grosso"
"1998",0,1998-01-01,"April","Mato Grosso"
"1999",97,1999-01-01,"April","Mato Grosso"
"2000",90,2000-01-01,"April","Mato Grosso"
"2001",108,2001-01-01,"April","Mato Grosso"
"2002",230,2002-01-01,"April","Mato Grosso"
"2003",126,2003-01-01,"April","Mato Grosso"
"2004",97,2004-01-01,"April","Mato Grosso"
"2005",126,2005-01-01,"April","Mato Grosso"
"2006",51,2006-01-01,"April","Mato Grosso"
"2007",46,2007-01-01,"April","Mato Grosso"
"2008",72,2008-01-01,"April","Mato Grosso"
"2009",291,2009-01-01,"April","Mato Grosso"
"2010",136,2010-01-01,"April","Mato Grosso"
"2011",23,2011-01-01,"April","Mato Grosso"
"2012",97,2012-01-01,"April","Mato Grosso"
"2013",78,2013-01-01,"April","Mato Grosso"
"2014",129,2014-01-01,"April","Mato Grosso"
"2015",65,2015-01-01,"April","Mato Grosso"
"2016",161,2016-01-01,"April","Mato Grosso"
"2017",59,2017-01-01,"April","Mato Grosso"
"1998",0,1998-01-01,"May","Mato Grosso"
"1999",206,1999-01-01,"May","Mato Grosso"
"2000",127,2000-01-01,"May","Mato Grosso"
"2001",112,2001-01-01,"May","Mato Grosso"
"2002",88,2002-01-01,"May","Mato Grosso"
"2003",74,2003-01-01,"May","Mato Grosso"
"2004",25,2004-01-01,"May","Mato Grosso"
"2005",328,2005-01-01,"May","Mato Grosso"
"2006",99,2006-01-01,"May","Mato Grosso"
"2007",62,2007-01-01,"May","Mato Grosso"
"2008",34,2008-01-01,"May","Mato Grosso"
"2009",927,2009-01-01,"May","Mato Grosso"
"2010",105,2010-01-01,"May","Mato Grosso"
"2011",81,2011-01-01,"May","Mato Grosso"
"2012",157,2012-01-01,"May","Mato Grosso"
"2013",72,2013-01-01,"May","Mato Grosso"
"2014",70,2014-01-01,"May","Mato Grosso"
"2015",58,2015-01-01,"May","Mato Grosso"
"2016",97,2016-01-01,"May","Mato Grosso"
"2017",72,2017-01-01,"May","Mato Grosso"
"1998",82,1998-01-01,"June","Mato Grosso"
"1999",127,1999-01-01,"June","Mato Grosso"
"2000",157,2000-01-01,"June","Mato Grosso"
"2001",249,2001-01-01,"June","Mato Grosso"
"2002",517,2002-01-01,"June","Mato Grosso"
"2003",170,2003-01-01,"June","Mato Grosso"
"2004",394,2004-01-01,"June","Mato Grosso"
"2005",439,2005-01-01,"June","Mato Grosso"
"2006",89,2006-01-01,"June","Mato Grosso"
"2007",141,2007-01-01,"June","Mato Grosso"
"2008",24,2008-01-01,"June","Mato Grosso"
"2009",376,2009-01-01,"June","Mato Grosso"
"2010",149,2010-01-01,"June","Mato Grosso"
"2011",104,2011-01-01,"June","Mato Grosso"
"2012",96,2012-01-01,"June","Mato Grosso"
"2013",35,2013-01-01,"June","Mato Grosso"
"2014",84,2014-01-01,"June","Mato Grosso"
"2015",299,2015-01-01,"June","Mato Grosso"
"2016",120,2016-01-01,"June","Mato Grosso"
"2017",175,2017-01-01,"June","Mato Grosso"
"1998",360,1998-01-01,"July","Mato Grosso"
"1999",1297,1999-01-01,"July","Mato Grosso"
"2000",160,2000-01-01,"July","Mato Grosso"
"2001",591,2001-01-01,"July","Mato Grosso"
"2002",935,2002-01-01,"July","Mato Grosso"
"2003",182,2003-01-01,"July","Mato Grosso"
"2004",529,2004-01-01,"July","Mato Grosso"
"2005",859,2005-01-01,"July","Mato Grosso"
